,request_id,request_date,request,desc,address,zip_code,hauler,route,district,lon,lat
1,25274,2017-11-01,Trash - Curbside/Alley Missed Pickup,curb/trash miss tuesday.,4028 clarksville pike,37218,RED RIVER,4202,1,-86.8381027765262,36.21346977420976
8,25359,2017-11-01,Trash - Curbside/Alley Missed Pickup,missed. does not have access to alley.,830 meridian st,37207,METRO,9207,5,-86.768394764647,36.1861439420134
10,25371,2017-11-01,Trash - Curbside/Alley Missed Pickup,pickup missed,2218 buena vista pike,37218,RED RIVER,4204,2,-86.82693625191021,36.1979786489898
12,25454,2017-11-01,Trash - Curbside/Alley Missed Pickup,missed.,449 westboro dr,37209,RED RIVER,4201,20,-86.87347362537817,36.14879323253828
15,25474,2017-11-01,Trash - Curbside/Alley Missed Pickup,customer says backdoor pickup was missed the past 2 weeks,1144 sewanee rd,37220,RED RIVER,3302,34,-86.80155227320982,36.0866309854553
16,25496,2017-11-01,Trash - Curbside/Alley Missed Pickup,missed pickup,1815 woodmont blvd,37215,RED RIVER,3305,25,-86.80565004279673,36.11319373266751
22,25515,2017-11-01,Trash - Curbside/Alley Missed Pickup,missed. cart is still out,4029 graybar ct,37215,RED RIVER,3305,25,-86.80749704336841,36.11307092951287
23,25517,2017-11-01,Trash - Curbside/Alley Missed Pickup,missed.,524 harding pl,37211,RED RIVER,4302,26,-86.73531477251949,36.07735249282284
27,25539,2017-11-02,Trash - Curbside/Alley Missed Pickup,"alley trash miss for wednesday. wants cart emptied. also others 
615-293-1573",2524 batavia st,37208,METRO,9303,21,-86.81616207044219,36.161540095245634
34,25587,2017-11-02,Trash - Curbside/Alley Missed Pickup,missed trash check for others also missed curb,101 westover park ct,37215,RED RIVER,3305S,25,-86.80970660899182,36.10039237213058
35,25592,2017-11-02,Trash - Curbside/Alley Missed Pickup,missed pickup; cust says trash is missed once a month,205 channelkirk ln,37215,RED RIVER,3305,25,-86.8087629893273,36.11244309929644
45,25733,2017-11-02,Trash - Curbside/Alley Missed Pickup,missed pickup,905 woodmont blvd,37204,RED RIVER,4305,25,-86.78074277783399,36.109755311693256
48,25775,2017-11-02,Trash - Backdoor,"missed trash pickup said has been picking up behind the gate for 26 years 
(615) 333-0065",4625 long br,37013,RED RIVER,4505,28,-86.67050710787724,36.07358954950948
50,25789,2017-11-02,Trash - Curbside/Alley Missed Pickup,missed pickup,116 bart dr,37013,RED RIVER,3404,30,-86.69375019841662,36.05780857159791
51,25791,2017-11-02,Trash - Curbside/Alley Missed Pickup,trash was not picked up today,5115 greentree dr,37211,RED RIVER,3401,27,-86.73916952894596,36.06189004730152
60,25858,2017-11-03,Trash - Backdoor,missed- she said her grandson was over yesterday and he told her it was full. she needs it picked up,2005 lebanon pike,37210,RED RIVER,1504,15,-86.70438745639723,36.15891917537191
67,25951,2017-11-03,Trash - Backdoor,never gets picked up please pick her up has tons of trash {thursday},15482 old hickory blvd,37211,RED RIVER,4402,27,-86.73492159343964,36.0397035361965
69,25968,2017-11-03,Trash - Backdoor,missing every other week- resident is upset.,2413 ravine dr,37217,RED RIVER,2505,29,-86.63887084848292,36.08427227887664
72,25976,2017-11-03,Trash - Curbside/Alley Missed Pickup,missed pick up - said happens often,2205 woodmont blvd,37215,RED RIVER,2305,25,-86.81426522432004,36.113948086344855
78,26031,2017-11-03,Trash - Curbside/Alley Missed Pickup,missed.,2731 murfreesboro pike,37013,RED RIVER,4502,32,-86.6339628294397,36.06912193712132
97,26257,2017-11-06,Trash - Curbside/Alley Missed Pickup,missed entire cul de sac,205 shoemaker ct,37013,RED RIVER,3504,33,-86.61592386109272,36.06786738982815
98,26264,2017-11-06,Trash - Curbside/Alley Missed Pickup,missed pick up,400 lorna dr,37214,RED RIVER,2503,15,-86.66798789377486,36.15813939423314
99,26275,2017-11-06,Trash - Backdoor,customer says trash pickup was missed again,936 cahal ave,37206,METRO,9507,5,-86.74660101980801,36.197114685943575
100,26283,2017-11-06,Trash - Curbside/Alley Missed Pickup,missed,3124 murfreesboro pike,37013,RED RIVER,4502,33,-86.62171700773453,36.0599907205218
101,26284,2017-11-06,Trash - Curbside/Alley Missed Pickup,missed,3124 murfreesboro pike,37013,RED RIVER,4502,33,-86.62171700773453,36.0599907205218
108,26412,2017-11-06,Trash - Curbside/Alley Missed Pickup,missed.,3006 goodwin dr,37217,RED RIVER,2505,29,-86.625013333989,36.08388216282152
113,26591,2017-11-07,Trash - Backdoor,missed back door - back door,3040 ned shelton rd,37217,RED RIVER,2504,29,-86.63380602080447,36.09495733083826
122,26828,2017-11-08,Trash - Curbside/Alley Missed Pickup,curb/trash dead end missed tuesday.,3528 pewitt rd,37218,RED RIVER,3203,1,-86.83424745540863,36.220294031768326
123,26864,2017-11-08,Trash - Curbside/Alley Missed Pickup,customer says the trash pickup was missed again,3210 whites creek pike,37207,RED RIVER,3201,3,-86.82075005147804,36.23137438427676
124,26867,2017-11-08,Trash - Curbside/Alley Missed Pickup,entire street was missed yesterday 11/07/17,3550 pewitt rd,37218,RED RIVER,3203,1,-86.8357427442469,36.22008488750094
125,26871,2017-11-08,Trash - Backdoor,missed back door,4203 kennedy ave,37216,RED RIVER,2203,nan,0.0,0.0
129,27000,2017-11-08,Trash - Backdoor,backdoor miss,2611 sterling boone dr,37210,RED RIVER,4301,16,-86.73902905529116,36.11585200880328
131,27018,2017-11-08,Trash - Backdoor,cust says missed pickup,2833 georgia ave b,37209,METRO,9303,21,-86.82133780428482,36.15696958578493
